GasDay,KWhFromBiogas,KWhToDenmark,KWhFromNorthSea,KWhToOrFromStorage,KWhToOrFromGermany,KWhToSweden
2021-06-11,16161046,-39603732,2400000,-28359290,74501280,-17157184
2021-06-10,15495053,-44181658,2040000,-28636692,76277280,-18207290
2021-06-09,15639841,-43706121,2400000,-24493452,67928280,-17255996
2021-06-08,15534345,-46939084,1200000,-37705198,64402280,-17855200
2021-06-07,15090926,-43317558,1200000,-28509977,69689280,-18192983
2021-06-06,15741292,-34187972,0,-23157813,73009280,-14838479
2021-06-05,15851013,-31656132,0,-21634696,73339280,-15032326
2021-06-04,15248369,-59772659,0,-17137562,68629280,-17752711
2021-06-03,15772851,-45982652,0,-31166102,72589280,-18699106
2021-06-02,15931212,-50616616,0,-26256271,88733280,-20439832
2021-06-01,15859771,-51256569,0,-27618257,84037280,-17944192
2021-05-31,15519734,-52268051,900000,-10596200,68997680,-19355661
2021-05-30,16251611,-39442756,1440000,-44334309,62169680,-16847354
2021-05-29,16439167,-42408669,1440000,-27352278,62710680,-15610103
2021-05-28,16494725,-57990242,1440000,-22287898,61327680,-18999244
2021-05-27,15860295,-68385571,1680000,26253661,74327680,-20360309
2021-05-26,15280043,-63155788,1680000,-6569320,67095680,-20646522
2021-05-25,15417812,-69725719,960000,1714647,67582680,-20508313
2021-05-24,15903729,-52595773,960000,-16091200,72286680,-18790047
2021-05-23,16207390,-52815401,960000,-13750467,61027680,-16381738
2021-05-22,16339585,-48003310,960000,-11719472,60262680,-14561143
2021-05-21,16445947,-53965848,960000,-9892026,65213680,-17045473
2021-05-20,16794859,-64473963,960000,-37583277,58355680,-19308387
2021-05-19,15463130,-61461542,960000,-12672639,75905680,-18588211
2021-05-18,15128837,-68922977,1680000,9372866,75979680,-18940743
2021-05-17,14710707,-62177241,1680000,1566545,74397680,-18829444
2021-05-16,15599038,-57092982,1680000,-8555863,64344680,-16482277
2021-05-15,15814850,-55617105,1680000,-7803228,62026680,-15961221
2021-05-14,16405578,-56655173,1680000,-24462650,61697630,-15656967
2021-05-13,16710642,-54219632,1200000,-2378582,68819680,-15895163
2021-05-12,16536793,-72497972,1200000,7911890,67405680,-17472059
2021-05-11,15891490,-65371308,960000,-11262110,74149680,-18173913
2021-05-10,15594907,-56191646,1440000,-34377585,74428630,-18907082
2021-05-09,15762539,-47782925,1440000,-33411099,73907680,-16123817
2021-05-08,16028416,-55143346,1440000,-10946341,74603680,-17263414
2021-05-07,15961463,-85384890,1920000,42524498,77992680,-21152258
2021-05-06,15722108,-90183593,960000,33727887,66481680,-25208159
2021-05-05,15536924,-83411691,960000,18861833,72426680,-24290776
2021-05-04,15240662,-77553306,960000,15507640,65491680,-23643781
2021-05-03,15255745,-76096050,960000,4576150,66003684,-23188049
2021-05-02,15878971,-63724052,960000,-2988501,65779680,-19403277
2021-05-01,16107183,-59581234,960000,1544843,66259680,-18963109
2021-04-30,16246903,-74482494,1200000,17722672,66391408,-22691320
2021-04-29,16230135,-81389597,600000,6163063,81465408,-23813646
2021-04-28,15915783,-81581669,400008,14737352,80501408,-22676960
2021-04-27,16031902,-82008885,480000,-79622,72134528,-22520533
2021-04-26,15824674,-87469689,960000,24605336,66074408,-22953936
2021-04-25,16283739,-65847951,980000,-6014274,75799008,-20323728
2021-04-24,16404537,-66946261,1080000,-8050334,75895008,-15926612
2021-04-23,16536745,-66862367,1200000,22706041,59465016,-21395434
2021-04-22,16126349,-76473954,1200000,9837103,49059008,-21359149
2021-04-21,15669255,-68023600,1165000,-15202147,67299008,-20884510
2021-04-20,15588968,-67915616,960000,-2965115,64373240,-19713073
2021-04-19,15555623,-66939637,1020000,7446657,75133008,-19515708
2021-04-18,16006095,-60609679,1200000,-5142182,72243008,-17006765
2021-04-17,15956735,-66183140,1200000,11357513,70385008,-18453732
2021-04-16,16006380,-81225487,1680000,42203876,55691008,-20467048
2021-04-15,16025392,-92099692,2400000,33340045,66887008,-24577512
2021-04-14,15500485,-104829759,2400000,36228273,73417008,-28457484
2021-04-13,15322311,-97796074,2400000,48699422,58353008,-29128450
2021-04-12,15138842,-92296932,2400000,34659495,61321008,-27316968
2021-04-11,15776462,-88957295,2400000,14988494,75357008,-26495264
2021-04-10,15877484,-82650542,2400000,2225776,70813008,-20473228
2021-04-09,15813372,-85569952,2400000,24553079,74315008,-21181993
2021-04-08,15516710,-91852704,2400000,43759241,64113008,-27385793
2021-04-07,14502372,-93908404,2400000,46436295,63090008,-25865342
2021-04-06,14044122,-97201830,2400000,25022351,75457008,-24514991
2021-04-05,14219293,-86811245,1200000,18059870,78731008,-22883874
2021-04-04,14622640,-71468519,1200000,-7347577,78031008,-19827361
2021-04-03,15503793,-74792272,1200000,-7490509,78031008,-20251594
2021-04-02,15350129,-65039614,1200000,-6128052,77947008,-20499548
2021-04-01,15618717,-66784094,2400000,-12432085,83221184,-23517836
2021-03-31,15188424,-69997768,2400000,-4359217,74655704,-22717212
2021-03-30,15084736,-77664977,2400000,3038802,70667704,-22277791
2021-03-29,15457383,-77768659,2400000,13038785,69689720,-23394757
2021-03-28,15759497,-81442687,0,13613368,68392804,-21001265
2021-03-27,15020014,-73303166,0,8182295,65144318,-19849996
2021-03-26,15523656,-78394331,0,15026659,80613143,-20337601
2021-03-25,14928940,-86292482,2400000,26371804,76060067,-21327134
2021-03-24,14877169,-90438454,2400000,23149369,66227036,-20399757
2021-03-23,14841590,-100692566,2400000,41526964,64318026,-22067459
2021-03-22,15210203,-99449746,0,43129214,64437978,-24611570
2021-03-21,15539556,-80216406,0,32527762,53643328,-22025813
2021-03-20,15894068,-87466644,0,38051347,47493328,-21723964
2021-03-19,15798100,-109362379,0,55224255,76562704,-28472555
2021-03-18,15716700,-106903373,1200000,48878960,64598704,-24731087
2021-03-17,15039280,-105132540,2400000,37010866,64468704,-23897798
2021-03-16,15348731,-99596847,1200000,36140950,87908704,-25231468
2021-03-15,15555995,-101496434,0,22941094,66468704,-27444697
2021-03-14,15936063,-88916552,0,5674048,86122704,-23421933
2021-03-13,16135634,-85249723,0,4819731,87238704,-24416006
2021-03-12,16239342,-94158680,2400000,21990652,68006704,-23984209
2021-03-11,16254873,-107657171,0,41002351,82875806,-26759396
2021-03-10,16000187,-124138577,0,58477158,85543328,-29111309
2021-03-09,16020520,-127720176,0,72625220,60749328,-33177380
2021-03-08,16058008,-135012901,0,97872567,65505328,-35278879
2021-03-07,16767571,-103453790,900000,47620669,64673328,-29170470
2021-03-06,16850077,-91741941,2400000,41281650,63881328,-25805437
2021-03-05,16783172,-115143263,2400000,70631499,54981264,-31367809
2021-03-04,16538090,-116570531,2400000,65902283,65428886,-31501964
2021-03-03,16658310,-115265838,2400000,63708903,76857328,-31915575
2021-03-02,16264376,-101513787,1200000,61268414,68626264,-27373428
2021-03-01,16575705,-112046783,2400000,67833804,41020560,-24343947
2021-02-28,16872439,-84724364,2400000,41844638,52916920,-22512365
2021-02-27,16908178,-92313870,2400000,42292438,52445920,-19960919
2021-02-26,16585228,-90682452,1700000,29164666,53690920,-22176209
2021-02-25,16429167,-81583810,0,40386892,48733920,-22189742
2021-02-24,16079758,-76610384,0,24375439,64816920,-22069734
2021-02-23,15546576,-91471710,0,41805097,50795120,-23757949
2021-02-22,15393328,-99292623,0,63229540,62334716,-35373752
2021-02-21,15633869,-88254995,0,14357643,58607920,-21153070
2021-02-20,15976550,-90571158,0,39667307,60230920,-19237607
2021-02-19,15539809,-114462231,2400000,72437880,56929920,-25409121
2021-02-18,15551999,-124385233,2400000,51551292,67983920,-31465237
2021-02-17,15487288,-131906633,2400000,80008406,77002002,-36409546
2021-02-16,15346069,-145205760,2400000,87396030,83479984,-38084975
2021-02-15,15058740,-155367861,2400000,51902295,122516992,-39558418
2021-02-14,15185693,-149137330,2400000,79873245,112244688,-42925026
2021-02-13,14915029,-160372698,2400000,98486815,114585688,-45534337
2021-02-12,14744563,-190078749,6650000,114160767,128309600,-55949782
2021-02-11,14530206,-207241012,2400000,111006601,141651906,-62280890
2021-02-10,14981644,-184643139,2400000,112447680,118940064,-58299496
2021-02-09,15258402,-178300656,2400000,103821250,109742052,-55740235
2021-02-08,14741355,-174460796,2400000,103733404,101383920,-56900042
2021-02-07,15153079,-149730225,2400000,68994651,112036680,-52662190
2021-02-06,15407194,-142460130,2400000,66786874,116035844,-49607360
2021-02-05,15485107,-165624299,2400000,100209615,106692699,-56322118
2021-02-04,15168751,-168524806,2400000,100090978,108992688,-57043784
2021-02-03,15362939,-154499975,2400000,113203279,104711215,-57171943
2021-02-02,14993993,-146386844,2400000,92366619,76189532,-53046346
2021-02-01,15683338,-144655402,3360000,88135949,79122064,-50995194
2021-01-31,16201583,-120873164,3360000,85107225,77217904,-47997140
2021-01-30,16336092,-128501415,3360000,91402172,78410904,-48195673
2021-01-29,16051962,-148150643,3360000,104652455,67865904,-54272215
2021-01-28,15691864,-140224692,3360000,85574255,71435904,-54947251
2021-01-27,15548010,-132101083,3360000,104226834,70555904,-44790921
2021-01-26,15571420,-131592389,3360000,101427468,64950904,-48297433
2021-01-25,15607569,-127370259,3360000,94963269,63047904,-41775784
2021-01-24,15795442,-106495468,3360000,56159646,55590904,-30889896
2021-01-23,15939111,-104067331,3360000,50855957,56632704,-26387205
2021-01-22,15617090,-94697201,3360000,41526174,49572904,-27540241
2021-01-21,15462845,-98085188,3360000,44603236,60638904,-27763823
2021-01-20,15376372,-102370932,3360000,48685854,59969904,-28912414
2021-01-19,15696126,-128337241,3360000,77350692,65896904,-30919335
2021-01-18,15091655,-143994823,3360000,99944991,70165904,-35009151
2021-01-17,15281189,-136895324,3360000,93290498,64303904,-35216270
2021-01-16,15398706,-141600298,3360000,102345287,74535904,-46607913
2021-01-15,15156387,-162920935,3360000,109641516,78208904,-55523112
2021-01-14,15256287,-152805225,3360000,100752946,83913904,-45675916
2021-01-13,14614518,-126164596,3360000,94130300,72062904,-42922713
2021-01-12,13981196,-133419617,3360000,78059248,77496904,-40212311
2021-01-11,14725144,-117873690,3360000,79553202,68465904,-32454013
2021-01-10,15360492,-123254903,3360000,69288812,69665904,-26783055
2021-01-09,15132904,-129351169,3360000,69503687,69665904,-28627167
2021-01-08,14901004,-148254982,3360000,93963274,75557904,-33038598
2021-01-07,14764327,-139917360,3360000,70455304,90841904,-36256377
2021-01-06,14199376,-137648547,3360000,66018047,99329904,-33778953
2021-01-05,14955415,-133271732,3360000,66849998,70927904,-32731580
2021-01-04,13493662,-129579194,3360000,61437110,79877904,-38077566
2021-01-03,14435650,-98849832,3360000,37673776,71613904,-21130174
2021-01-02,15265818,-109258310,3360000,48123968,69813904,-15798672
2021-01-01,15297181,-101466383,3360000,20168535,67624904,-19161927
2020-12-31,15734782,-96815015,2400000,32528874,93295032,-26835968
2020-12-30,15524845,-92146847,1920000,46375136,97625032,-27296262
2020-12-29,14883207,-112561506,1920000,29144623,91345032,-29936715
2020-12-28,14559639,-116092176,1920000,14143288,95176932,-30815549
2020-12-27,14608856,-98328811,1920000,12999581,99563032,-29492194
2020-12-26,15103952,-89553496,1920000,9236374,99100032,-26837109
2020-12-25,15454897,-107699060,1920000,13348197,97689032,-32815191
2020-12-24,15348167,-84663539,1920000,3364646,95971032,-27703712
2020-12-23,15441830,-100143362,1920000,12780264,97123032,-26266503
2020-12-22,15346750,-85330644,1920000,3195389,85999032,-27784153
2020-12-21,14835373,-86460109,1920000,-4307257,89722032,-27926101
2020-12-20,15324956,-78185886,1920000,-7168281,84227032,-25353515
2020-12-19,15704936,-78525798,1920000,-8345518,84345032,-25730889
2020-12-18,15433698,-86989062,2160000,8169275,96619032,-27025385
2020-12-17,15054565,-102544359,2160000,25164181,99043032,-28054387
2020-12-16,15039857,-103140746,1920000,24843120,97435032,-28166525
2020-12-15,14923417,-106558096,1920000,20605399,97471032,-27864280
2020-12-14,14281913,-99568477,2400000,10346490,96399032,-28834106
2020-12-13,15152535,-106043818,2160000,25047038,98623032,-26167994
