component,density,mol,mass,volume,T,p,thickness,porosity,permeability,radius
NH3,667.688495402237,23080642888.2353,393086429.029535,588727.275872452,343.15,200000000,100,0.4,1e-15,68.4466420243267
CH4,386.564854239904,9441071441.2897,151463109.132611,391818.106253943,343.15,200000000,100,0.4,1e-15,55.8389596980551
H2,67.6526674227523,33251773652.5424,67035575.6835254,990878.530548238,343.15,200000000,100,0.4,1e-15,88.7984279535358
methanol,871.150968675042,10899192475,348774159.2,400360.180658997,343.15,200000000,100,0.4,1e-15,56.4443539111945
Air,733.471219434573,356501869075.072,10338554203.1771,14095378.1542335,343.15,200000000,100,0.4,1e-15,334.91410152424
