component,density,mol,mass,volume,T,p,thickness,porosity,permeability,radius
NH3,667.688495402237,98071443238.2353,1670254749.79039,2501547.89440272,343.15,200000000,100,0.4,1e-15,141.091054425026
CH4,386.564854239904,40115845405.4379,643578507.839441,1664865.54786492,343.15,200000000,100,0.4,1e-15,115.102472068609
H2,67.6526674227523,141289367377.119,284839364.632271,4210319.79200981,343.15,200000000,100,0.4,1e-15,183.042782826311
methanol,871.150968675042,46311514862.5,1481968475.6,1701161.48507987,343.15,200000000,100,0.4,1e-15,116.350388772021
Air,733.471219434573,1514804114713.02,43929319326.6777,59892355.913491,343.15,200000000,100,0.4,1e-15,690.368180648964
