,pressure,density
0,100000.0,0.853367558816462
1,10705050.505050505,88.38311233570758
2,21310101.01010101,167.51165546850208
3,31915151.515151516,236.4860197947966
4,42520202.02020202,295.6103757551952
5,53125252.52525252,346.24112063771145
6,63730303.03030303,389.915155160944
7,74335353.53535353,427.98313627945686
8,84940404.04040404,461.5316731330629
9,95545454.54545455,491.4086221302522
10,106150505.05050504,518.2713188745525
11,116755555.55555555,542.6314343053455
12,127360606.06060606,564.890617161109
13,137965656.56565657,585.3673768696456
14,148570707.07070705,604.3170215868614
15,159175757.57575756,621.9464040043983
16,169780808.08080807,638.4248646589193
17,180385858.58585858,653.8924069492227
18,190990909.0909091,668.465855046159
19,201595959.59595957,682.243535384391
20,212201010.10101008,695.3088702164059
21,222806060.6060606,707.7331630102941
22,233411111.1111111,719.5777782010724
23,244016161.6161616,730.8958628671191
24,254621212.12121212,741.7337187165331
25,265226262.6262626,752.1319046664645
26,275831313.13131315,762.1261300088531
27,286436363.6363636,771.747983393753
28,297041414.1414141,781.0255320321257
29,307646464.64646465,789.9838175083738
30,318251515.1515151,798.6452686151372
31,328856565.65656567,807.0300471250519
32,339461616.16161615,815.1563390019106
33,350066666.6666666,823.0406009442951
34,360671717.17171717,830.6977701439898
35,371276767.67676765,838.1414435805395
36,381881818.1818182,845.3840319530449
37,392486868.68686867,852.4368923898558
38,403091919.19191915,859.3104433160888
39,413696969.6969697,866.014264252611
40,424302020.20202017,872.5571828341397
41,434907070.7070707,878.9473509423545
42,445512121.2121212,885.1923115324827
43,456117171.71717167,891.2990574732714
44,466722222.2222222,897.2740835086743
45,477327272.7272727,903.1234322756386
46,487932323.2323232,908.8527351687236
47,498537373.7373737,914.4672487231691
48,509142424.24242425,919.971887088859
49,519747474.74747473,925.3712510847203
50,530352525.2525252,930.6696542535615
51,540957575.7575758,935.8711462788077
52,551562626.2626263,940.9795340751205
53,562167676.7676767,945.9984008229687
54,572772727.2727273,950.9311231815766
55,583377777.7777778,955.7808868842666
56,593982828.2828282,960.5507008942164
57,604587878.7878788,965.2434102763377
58,615192929.2929293,969.8617079218035
59,625797979.7979797,974.4081452452054
60,636403030.3030303,978.8851419600078
61,647008080.8080808,983.2949950255752
62,657613131.3131313,987.6398868482711
63,668218181.8181818,991.9218928097476
64,678823232.3232323,996.142988187356
65,689428282.8282828,1000.3050545244441
66,700033333.3333333,1004.4098855020376
67,710638383.8383838,1008.4591923578797
68,721243434.3434343,1012.4546088939554
69,731848484.8484849,1016.3976961093546
70,742453535.3535353,1020.2899464915334
71,753058585.8585858,1024.1327879957134
72,763663636.3636364,1027.927587739166
73,774268686.8686868,1031.6756554345202
74,784873737.3737373,1035.3782465838701
75,795478787.8787879,1039.036565453392
76,806083838.3838383,1042.6517678462983
77,816688888.8888888,1046.2249636903066
78,827293939.3939394,1049.7572194543038
79,837898989.8989899,1053.2495604075557
80,848504040.4040403,1056.7029727336085
81,859109090.9090909,1060.1184055099511
82,869714141.4141414,1063.4967725635463
83,880319191.9191918,1066.8389542114467
84,890924242.4242424,1070.1457988949446
85,901529292.9292929,1073.4181247149695
86,912134343.4343433,1076.6567208758208
87,922739393.9393939,1079.8623490437203
88,933344444.4444444,1083.0357446261635
89,943949494.949495,1086.177617977537
90,954554545.4545454,1089.2886555360585
91,965159595.9595959,1092.3695208966847
92,975764646.4646465,1095.420855824267
93,986369696.9696969,1098.4432812109178
94,996974747.4747474,1101.4373979812324
95,1007579797.979798,1104.4037879487466
96,1018184848.4848485,1107.3430146267513
97,1028789898.9898989,1110.2556239963624
98,1039394949.4949495,1113.142145234521
99,1050000000.0,1116.0030914044137
