date,rate(kg/s)
2050-10-06T22:36:00,0
2050-10-06T23:36:00,0
2050-10-07T00:36:00,0
2050-10-07T01:36:00,0
2050-10-07T02:36:00,0
2050-10-07T03:36:00,0
2050-10-07T04:36:00,0
2050-10-07T05:36:00,0
2050-10-07T06:36:00,0
2050-10-07T07:36:00,0
2050-10-07T08:36:00,0
2050-10-07T09:36:00,0
2050-10-07T10:36:00,0
2050-10-07T11:36:00,0
2050-10-07T12:36:00,0
2050-10-07T13:36:00,0
2050-10-07T14:36:00,0
2050-10-07T15:36:00,0
2050-10-07T16:36:00,0
2050-10-07T17:36:00,0
2050-10-07T18:36:00,0
2050-10-07T19:36:00,0
2050-10-07T20:36:00,0
2050-10-07T21:36:00,0
2050-10-07T22:36:00,0
2050-10-07T23:36:00,0
2050-10-08T00:36:00,0
2050-10-08T01:36:00,0
2050-10-08T02:36:00,16.8496986339076
2050-10-08T03:36:00,13.0884595517082
2050-10-08T04:36:00,14.1296253209601
2050-10-08T05:36:00,13.8172325005762
2050-10-08T06:36:00,13.8099770526735
2050-10-08T07:36:00,13.7460484432396
2050-10-08T08:36:00,13.7048379542681
2050-10-08T09:36:00,13.6648865690737
2050-10-08T10:36:00,13.6311391622082
2050-10-08T11:36:00,13.6021215521614
2050-10-08T12:36:00,13.5769589067509
2050-10-08T13:36:00,0
2050-10-08T14:36:00,0
2050-10-08T15:36:00,0
2050-10-08T16:36:00,0
2050-10-08T17:36:00,0
2050-10-08T18:36:00,0
2050-10-08T19:36:00,0
2050-10-08T20:36:00,0
2050-10-08T21:36:00,0
2050-10-08T22:36:00,0
2050-10-08T23:36:00,0
2050-10-09T00:36:00,0
2050-10-09T01:36:00,0
2050-10-09T02:36:00,0
2050-10-09T03:36:00,0
2050-10-09T04:36:00,16.3953343876152
2050-10-09T05:36:00,13.1911045999902
2050-10-09T06:36:00,14.0259766899671
2050-10-09T07:36:00,13.7573724070464
2050-10-09T08:36:00,13.7400069809663
2050-10-09T09:36:00,13.6802537087932
2050-10-09T10:36:00,13.6402061929465
2050-10-09T11:36:00,13.6052876339185
2050-10-09T12:36:00,13.5764203584653
2050-10-09T13:36:00,13.5512014475391
2050-10-09T14:36:00,13.5290578691068
2050-10-09T15:36:00,0
2050-10-09T16:36:00,0
2050-10-09T17:36:00,0
2050-10-09T18:36:00,0
2050-10-09T19:36:00,0
2050-10-09T20:36:00,15.4629000347753
2050-10-09T21:36:00,13.3155145901724
2050-10-09T22:36:00,13.7780466158937
2050-10-09T23:36:00,13.5995139809912
2050-10-10T00:36:00,13.5757668811685
2050-10-10T01:36:00,13.5360499690397
2050-10-10T02:36:00,13.5085413675548
2050-10-10T03:36:00,13.4843233447553
2050-10-10T04:36:00,13.4639751484093
2050-10-10T05:36:00,13.4459104222035
2050-10-10T06:36:00,0
2050-10-10T07:36:00,0
2050-10-10T08:36:00,0
2050-10-10T09:36:00,0
2050-10-10T10:36:00,0
2050-10-10T11:36:00,0
2050-10-10T12:36:00,0
2050-10-10T13:36:00,0
2050-10-10T14:36:00,0
2050-10-10T15:36:00,0
2050-10-10T16:36:00,0
2050-10-10T17:36:00,15.90296389765
2050-10-10T18:36:00,0
2050-10-10T19:36:00,0
2050-10-10T20:36:00,15.3047931422341
2050-10-10T21:36:00,13.35879215656
2050-10-10T22:36:00,13.7803325342936
2050-10-10T23:36:00,13.6141931674139
2050-10-11T00:36:00,13.5875932572928
2050-10-11T01:36:00,13.5466014104372
2050-10-11T02:36:00,13.5171869112223
2050-10-11T03:36:00,13.4915439510376
2050-10-11T04:36:00,13.4689707623043
2050-10-11T05:36:00,13.4489828433467
2050-10-11T06:36:00,13.4313369173471
2050-10-11T07:36:00,13.415888801742
2050-10-11T08:36:00,13.4021840334433
2050-10-11T09:36:00,13.3898575683849
2050-10-11T10:36:00,0
2050-10-11T11:36:00,0
2050-10-11T12:36:00,0
2050-10-11T13:36:00,0
2050-10-11T14:36:00,0
2050-10-11T15:36:00,0
2050-10-11T16:36:00,0
2050-10-11T17:36:00,0
2050-10-11T18:36:00,0
2050-10-11T19:36:00,0
2050-10-11T20:36:00,0
2050-10-11T21:36:00,0
2050-10-11T22:36:00,0
2050-10-11T23:36:00,0
2050-10-12T00:36:00,0
2050-10-12T01:36:00,0
2050-10-12T02:36:00,0
2050-10-12T03:36:00,0
2050-10-12T04:36:00,0
2050-10-12T05:36:00,0
2050-10-12T06:36:00,0
2050-10-12T07:36:00,0
2050-10-12T08:36:00,0
2050-10-12T09:36:00,0
2050-10-12T10:36:00,0
2050-10-12T11:36:00,0
2050-10-12T12:36:00,0
2050-10-12T13:36:00,0
2050-10-12T14:36:00,0
2050-10-12T15:36:00,0
2050-10-12T16:36:00,0
2050-10-12T17:36:00,0
2050-10-12T18:36:00,0
2050-10-12T19:36:00,0
2050-10-12T20:36:00,0
2050-10-12T21:36:00,0
2050-10-12T22:36:00,0
2050-10-12T23:36:00,0
2050-10-13T00:36:00,0
2050-10-13T01:36:00,0
2050-10-13T02:36:00,0
2050-10-13T03:36:00,0
2050-10-13T04:36:00,0
2050-10-13T05:36:00,0
2050-10-13T06:36:00,0
2050-10-13T07:36:00,0
2050-10-13T08:36:00,0
2050-10-13T09:36:00,0
2050-10-13T10:36:00,0
2050-10-13T11:36:00,0
2050-10-13T12:36:00,0
2050-10-13T13:36:00,0
2050-10-13T14:36:00,0
2050-10-13T15:36:00,0
2050-10-13T16:36:00,0
2050-10-13T17:36:00,0
2050-10-13T18:36:00,0
2050-10-13T19:36:00,0
2050-10-13T20:36:00,0
2050-10-13T21:36:00,0
2050-10-13T22:36:00,0
2050-10-13T23:36:00,0
2050-10-14T00:36:00,0
2050-10-14T01:36:00,0
2050-10-14T02:36:00,0
2050-10-14T03:36:00,17.4176391145945
2050-10-14T04:36:00,0
2050-10-14T05:36:00,15.1104444340605
2050-10-14T06:36:00,13.5843418758095
2050-10-14T07:36:00,13.9834604915964
2050-10-14T08:36:00,13.8222725880721
2050-10-14T09:36:00,13.7957780811024
2050-10-14T10:36:00,13.7484768849391
2050-10-14T11:36:00,13.7127489879723
2050-10-14T12:36:00,13.6781418613728
2050-10-14T13:36:00,13.6487310412732
2050-10-14T14:36:00,13.6214670365567
2050-10-14T15:36:00,13.5973603662824
2050-10-14T16:36:00,13.5756968053872
2050-10-14T17:36:00,13.5558987134483
2050-10-14T18:36:00,13.5376078788904
2050-10-14T19:36:00,13.5206491942028
2050-10-14T20:36:00,13.5049187590967
2050-10-14T21:36:00,13.490028038955
2050-10-14T22:36:00,13.475866258015
2050-10-14T23:36:00,13.4626042037428
2050-10-15T00:36:00,13.4500081692411
2050-10-15T01:36:00,13.4379323908448
2050-10-15T02:36:00,13.4266620895085
2050-10-15T03:36:00,13.4160835897827
2050-10-15T04:36:00,13.4061369568574
2050-10-15T05:36:00,13.3967445208704
2050-10-15T06:36:00,13.3878480537759
2050-10-15T07:36:00,13.3793895103438
2050-10-15T08:36:00,13.3712610707348
2050-10-15T09:36:00,13.3634107214682
2050-10-15T10:36:00,13.3558310744676
2050-10-15T11:36:00,13.3485113967826
2050-10-15T12:36:00,13.3414572343296
2050-10-15T13:36:00,13.3346670215
2050-10-15T14:36:00,13.3281343088901
2050-10-15T15:36:00,13.3218471885449
2050-10-15T16:36:00,13.3157723998959
2050-10-15T17:36:00,13.3098399237503
